Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P29467	P32841	MEI4	REC114	YER044BC	YM9375.02	S000001954	S000004740	17558514:0018:LC|16783010:0007:LC|16783010:0416:LC|16783010:0004:LC|14992724:0018:LC
P29467	P33323	MEI4	REC104	YER044BC		S000001954	S000001200	17558514:0018:LC|14992724:0018:LC
P29468	P29468	PAP1	PAP1			S000001710	S000001710	11805826:0007:LC|17223131:0114:LC|18537269:0114:LC|10958780:0114:LC
P29468	P40020	PAP1	FIR1			S000001710	S000000834	9236779:0018:LC
P29468	P45976	PAP1	FIP1		J1911	S000001710	S000003853	22575652:0018:LC|9236779:0018:LC|10523662:0004:LC|10523662:0019:LC|18537269:0096:LC|7736590:0018:LC|18537269:0114:LC|9742111:0018:LC|9742111:0415:LC|9224719:0018:LC|10523662:0018:LC|7736590:0019:LC|7736590:0071:LC|10619842:0004:LC|22575652:0096:LC|10619842:0018:LC|11805826:0004:LC|22575652:0006:LC|11805826:0676:LC|11805826:0007:LC|8577746:0018:LC
P29468	P52488	PAP1	UBA2		D9509.10	S000001710	S000002798	9236779:0004:LC|9236779:0018:LC|7629121:0018:LC|9236779:0096:LC
P29468	Q01329	PAP1	PTA1		FUN39	S000001710	S000000041	14759368:0007:LC|22575652:0018:LC|11805826:0004:LC|11805826:0676:LC|10523662:0019:LC|10523662:0004:LC|14759368:0004:LC|11805826:0007:LC|22575652:0096:LC
P29468	Q06102	PAP1	YTH1			S000001710	S000006311	11805826:0004:LC|10523662:0004:LC|11805826:0676:LC|10523662:0019:LC|11805826:0007:LC
P29468	Q06224	PAP1	YSH1			S000001710	S000004267	11805826:0004:LC|10523662:0004:LC|11805826:0676:LC|10523662:0019:LC|11805826:0007:LC
P29468	Q06632	PAP1	CFT1			S000001710	S000002709	11805826:0004:LC|10523662:0004:LC|11805826:0676:LC|10523662:0019:LC|11805826:0007:LC
P29468	Q12102	PAP1	CFT2		L2946	S000001710	S000004105	11805826:0004:LC|10523662:0004:LC|11805826:0676:LC|10523662:0019:LC|9303317:0401:LC|11805826:0007:LC
P29469	P29469	MCM2	MCM2	YBL0438	YBL0438	S000000119	S000000119	8756666:0004:LC|11805826:0007:LC|8756666:0018:LC
P29469	P29496	MCM2	MCM5	YBL0438	L9328.1	S000000119	S000004264	26222030:0020:LC|23851460:0096:LC|26222030:0410:LC|19910535:0071:LC|25313033:0401:LC|12480933:0071:LC|8756666:0018:LC|8756666:0004:LC|24566989:0040:LC|12480933:0401:LC|23851460:0006:LC|19910535:0040:LC
P29469	P30665	MCM2	MCM4	YBL0438	YP9531.13	S000000119	S000006223	26222030:0007:LC|26686640:0401:LC|22421151:0018:LC|26222030:0020:LC|19910927:0004:LC|23851460:0096:LC|26222030:0410:LC|19910535:0071:LC|12480933:0071:LC|26686640:0096:LC|22433841:0004:LC|26686640:0004:LC|24805245:0007:LC|19896182:0007:LC|22433841:0007:LC|19896182:0401:LC|19910927:0007:LC|12480933:0401:LC|23851460:0006:LC|19910535:0040:LC
P29469	P32325	MCM2	DBF4	YBL0438	D4205|YD9609.07C	S000000119	S000002459	9407029:0025:LC|23549044:0018:LC|16107698:0018:LC|20436286:0018:LC|9407029:0018:LC|23549044:0004:LC|20436286:0004:LC|9407029:0004:LC
P29469	P32354	MCM2	MCM10	YBL0438		S000000119	S000001412	26686640:0096:LC|19917723:0018:LC|22433841:0007:LC|22433841:0004:LC|26686640:0004:LC|26686640:0018:LC|9154825:0018:LC
P29469	P38132	MCM2	MCM7	YBL0438	YBR1441	S000000119	S000000406	24566989:0040:LC|19910535:0071:LC|26222030:0410:LC|26222030:0020:LC|12480933:0401:LC|17895243:0401:LC|23851460:0006:LC|19910535:0040:LC|23851460:0096:LC|12480933:0071:LC
P29469	P47112	MCM2	TAH11	YBL0438	J1641	S000000119	S000003807	23851460:0006:LC|19896182:0040:LC|23851460:0096:LC
P29469	P50874	MCM2	ORC5	YBL0438	N0834	S000000119	S000005205	9407030:0401:LC|23851460:0006:LC|23851460:0096:LC
P29469	P53091	MCM2	MCM6	YBL0438		S000000119	S000003169	23549044:0018:LC|22421151:0018:LC|26222030:0020:LC|23851460:0096:LC|26222030:0410:LC|19910535:0071:LC|12480933:0071:LC|24566989:0040:LC|22250202:0018:LC|22250202:0004:LC|12480933:0401:LC|23851460:0006:LC|19910535:0040:LC
P29469	P54790	MCM2	ORC3	YBL0438	L1365	S000000119	S000003927	23851460:0006:LC|9407030:0401:LC|23851460:0096:LC
P29469	Q08032	MCM2	CDC45	YBL0438	L8004.11	S000000119	S000004093	21362622:0401:LC|26854665:0410:LC|17167415:0007:LC|25313033:0401:LC|21362622:0096:LC|9554851:0004:LC|9554851:0019:LC
P29469	Q08496	MCM2	DIA2	YBL0438	YOR29-31	S000000119	S000005606	11805837:0004:LC|19910927:0018:LC|19910927:0007:LC|19910927:0004:LC|11805837:0007:LC
P29478	P32342	SEC65	SRP21	YM8339.14C	YKL527	S000004573	S000001605	7925282:0004:LC|7925282:0401:LC|10921896:0007:LC|10921896:0006:LC|10921896:0004:LC|10921896:0401:LC
P29478	P38687	SEC65	SRP68	YM8339.14C		S000004573	S000006164	7925282:0004:LC|7925282:0401:LC|10921896:0401:LC
P29478	P38688	SEC65	SRP72	YM8339.14C		S000004573	S000006131	11069106:0027:LC|7925282:0004:LC|7925282:0401:LC|10921896:0006:LC|10921896:0004:LC
P29478	P38985	SEC65	SRP14	YM8339.14C	D2404	S000004573	S000002250	7925282:0004:LC|7925282:0401:LC|10921896:0007:LC|7925282:0006:LC|10921896:0006:LC|10921896:0401:LC
P29496	P30665	MCM5	MCM4	L9328.1	YP9531.13	S000004264	S000006223	22433841:0007:LC|19896182:0401:LC|22433841:0004:LC|19896182:0007:LC|26686640:0401:LC|24805245:0007:LC|25313033:0401:LC
P29496	P38132	MCM5	MCM7	L9328.1	YBR1441	S000004264	S000000406	9315644:0401:LC|9315644:0018:LC|17895243:0401:LC|25313033:0401:LC|9315644:0019:LC|22421151:0018:LC|9315644:0004:LC
P29496	P53091	MCM5	MCM6	L9328.1		S000004264	S000003169	11805826:0004:LC|11805826:0676:LC|25313033:0401:LC|11805826:0007:LC
P29496	Q03406	MCM5	SLD5	L9328.1		S000004264	S000002897	22433841:0007:LC|22433841:0004:LC|25313033:0401:LC
P29496	Q08032	MCM5	CDC45	L9328.1	L8004.11	S000004264	S000004093	21362622:0096:LC|21362622:0401:LC|9315644:0018:LC|25313033:0401:LC|26854665:0410:LC
P29509	P29509	TRR1	TRR1	D9476.5	D9476.5	S000002761	S000002761	18930846:0114:LC|20235561:0114:LC
P29509	P53879	TRR1	RHO5	D9476.5	N1644	S000002761	S000005124	11805837:0004:LC|18216266:0018:LC|18216266:0809:LC|11805837:0007:LC|18216266:0096:LC
P29539	P29539	RIF1	RIF1	YBR1743	YBR1743	S000000479	S000000479	23746845:0067:LC|28604726:0114:LC|23746845:0114:LC
P29539	P32598	RIF1	GLC7	YBR1743		S000000479	S000000935	20489023:0007:LC|20489023:0004:LC|24532715:0018:LC
P30283	P32526	CLB5	KAR9	P9642.8		S000006324	S000006190	12554645:0018:LC|16236795:0018:LC
P30283	P38634	CLB5	SIC1	P9642.8	L9449.8	S000006324	S000004069	21963604:0018:LC|9285816:0019:LC|21993622:0415:LC|20489023:0007:LC|21993622:0096:LC|21963604:0096:LC|20489023:0004:LC|22002907:0055:LC|9285816:0004:LC
P30283	P38826	CLB5	ORC6	P9642.8		S000006324	S000001160	15105375:0018:LC|21289063:0415:LC|15105375:0004:LC
P30283	P47049	CLB5	UBX6	P9642.8	J1164	S000006324	S000003584	20489023:0007:LC|20489023:0004:LC
P30283	P53135	CLB5	SLD3	P9642.8	G2980	S000006324	S000003081	20489023:0007:LC|20865002:0415:LC|20489023:0004:LC
P30283	P53197	CLB5	CDH1	P9642.8		S000006324	S000002971	23751495:0415:LC|25877870:0415:LC
P30283	Q03898	CLB5	FIN1	P9642.8	YD9302.05C	S000006324	S000002537	20489023:0007:LC|20489023:0004:LC
P30619	P32867	SEC1	SSO1	YD8358.18C	P1405	S000002571	S000006153	17090679:0096:LC|17090679:0007:LC|10427089:0019:LC|17090679:0004:LC|20181830:0090:LC|10427089:0096:LC
P30619	P39926	SEC1	SSO2	YD8358.18C	YM8010.13C	S000002571	S000004795	21119007:0018:LC|20181830:0090:LC|11748729:0018:LC
P30619	P40357	SEC1	SEC9	YD8358.18C		S000002571	S000003241	17090679:0096:LC|10427089:0004:LC|17090679:0007:LC|10427089:0019:LC|17090679:0004:LC|17090679:0006:LC
P30619	P53604	SEC1	MSO1	YD8358.18C	N3457	S000002571	S000005332	21119007:0004:LC|20181830:0090:LC|16030256:0004:LC|9207091:0096:LC|20181830:0018:LC|16030256:0018:LC|21119007:0090:LC|21119007:0096:LC|9207091:0004:LC|9207091:0018:LC|20181830:0004:LC|11748729:0018:LC
P30624	P38225	FAA1	FAT1	O6136	YBR0411	S000005844	S000000245	12601005:0018:LC|12601005:0004:LC|10515935:0401:LC
P30656	P30657	PRE2	PRE4	P8283.10		S000006307	S000001946	8628401:0401:LC|17892321:0007:LC
P30656	P32379	PRE2	PUP2	P8283.10	G9155	S000006307	S000003485	14759368:0007:LC|11062564:0114:LC|8628401:0401:LC|11081519:0114:LC|15916965:0114:LC|9087403:0114:LC|11493007:0114:LC|14759368:0004:LC
P30656	P38293	PRE2	UMP1	P8283.10	YBR1234	S000006307	S000000377	11595789:0018:LC|8628401:0401:LC|11595789:0397:LC
P30656	P38624	PRE2	PRE3	P8283.10	J1407	S000006307	S000003538	11595789:0018:LC|14759368:0007:LC|8628401:0401:LC|11595789:0397:LC|9087403:0114:LC|14759368:0004:LC
P30656	P38737	PRE2	ECM29	P8283.10		S000006307	S000001022	18927584:0007:LC|8628401:0401:LC
P30656	P40302	PRE2	PRE5	P8283.10	YM9924.06	S000006307	S000004931	14759368:0007:LC|8628401:0401:LC|17892321:0007:LC|14759368:0004:LC
P30656	P40303	PRE2	PRE6	P8283.10		S000006307	S000005398	14759368:0007:LC|11062564:0114:LC|11493007:0114:LC|8628401:0401:LC|11081519:0114:LC|9087403:0114:LC|17892321:0007:LC|14759368:0004:LC
P30657	P38346	PRE4	BIT2		YBR1738	S000001946	S000000474	11595789:0018:LC|11595789:0397:LC
P30657	P38624	PRE4	PRE3		J1407	S000001946	S000003538	11062564:0114:LC|11081519:0114:LC|14722099:0114:LC|9087403:0114:LC|11493007:0114:LC
P30657	P40013	PRE4	BIM1			S000001946	S000000818	11595789:0018:LC|11595789:0397:LC
P30657	P40064	PRE4	NUP157			S000001946	S000000907	11595789:0018:LC|11595789:0397:LC
P30657	P40302	PRE4	PRE5		YM9924.06	S000001946	S000004931	11062564:0114:LC|11081519:0114:LC|9087403:0114:LC|11493007:0114:LC
P30657	P53243	PRE4	P53243			S000001946	S000003299	11595789:0018:LC|11595789:0397:LC
P30657	P53851	PRE4	TEX1		N0860	S000001946	S000005197	11595789:0018:LC|11595789:0397:LC
P30665	P32354	MCM4	MCM10	YP9531.13		S000006223	S000001412	26686640:0096:LC|22433841:0007:LC|22433841:0004:LC|26686640:0004:LC|26686640:0401:LC|26686640:0018:LC
P30665	P38132	MCM4	MCM7	YP9531.13	YBR1441	S000006223	S000000406	26686640:0401:LC|22421151:0018:LC|15723534:0401:LC|12480933:0071:LC|22433841:0004:LC|17895243:0401:LC|19896182:0007:LC|18801730:0096:LC|19896182:0401:LC|22433841:0007:LC|18801730:0114:LC
P30665	P40359	MCM4	PSF2	YP9531.13	HRF213|J1086	S000006223	S000003608	19661920:0007:LC|19661920:0004:LC|22433841:0007:LC|22433841:0004:LC
P30665	P53091	MCM4	MCM6	YP9531.13		S000006223	S000003169	26686640:0401:LC|22421151:0018:LC|15723534:0401:LC|22433841:0004:LC|24805245:0007:LC|19896182:0007:LC|12480933:0071:LC|22433841:0007:LC|19896182:0401:LC
P30665	Q01454	MCM4	CTF4	YP9531.13	P9659.7	S000006223	S000006339	19661920:0007:LC|22433841:0007:LC|22433841:0004:LC|19910927:0007:LC|19910927:0004:LC|24805245:0007:LC|19661920:0004:LC
P30665	Q03406	MCM4	SLD5	YP9531.13		S000006223	S000002897	19661920:0007:LC|19661920:0676:LC|22433841:0007:LC|22433841:0004:LC|25313033:0401:LC|24805245:0007:LC|19661920:0004:LC
P30665	Q04636	MCM4	POB3	YP9531.13		S000006223	S000004534	22433841:0007:LC|22433841:0004:LC|24805245:0007:LC
P30665	Q04659	MCM4	CSM3	YP9531.13	YM9796.01	S000006223	S000004651	22433841:0007:LC|22433841:0004:LC|24805245:0007:LC
P30665	Q08032	MCM4	CDC45	YP9531.13	L8004.11	S000006223	S000004093	21362622:0401:LC|26854665:0410:LC|19661920:0007:LC|25313033:0401:LC|24805245:0007:LC|21362622:0096:LC|19661920:0004:LC|22433841:0004:LC|22433841:0007:LC
P30665	Q12488	MCM4	PSF1	YP9531.13	PZA208|YD8119.18	S000006223	S000002420	26854664:0007:LC|22433841:0007:LC|22433841:0004:LC|24805245:0007:LC
P30771	P30771	NAM7	NAM7	YM9582.05C	YM9582.05C	S000004685	S000004685	14759368:0004:LC|14759368:0007:LC|8816462:0018:LC
P30771	P38798	NAM7	NMD2	YM9582.05C		S000004685	S000001119	23801788:0018:LC|7645344:0018:LC|22065998:0018:LC|9032286:0018:LC|24100012:0018:LC|8601282:0018:LC|8816462:0018:LC|7883168:0018:LC
P30771	P38861	NAM7	NMD3	YM9582.05C		S000004685	S000001213	10445880:0018:LC|10471698:0018:LC|9933353:0018:LC|7883168:0018:LC
P30771	P48412	NAM7	UPF3	YM9582.05C		S000004685	S000003304	8816462:0018:LC|9032286:0018:LC
P30771	P53550	NAM7	DCP2	YM9582.05C	N1917	S000004685	S000005062	22065998:0018:LC|26184073:0018:LC|7883168:0018:LC
P30822	P32835	CRM1	GSP1	G8514	L8003.19	S000003450	S000004284	10825193:0096:LC|20485264:0114:LC|9636166:0004:LC|20485264:0096:LC|10825193:0004:LC|23164569:0401:LC|10825193:0018:LC|9636166:0018:LC
P30822	P34078	CRM1	LTV1	G8514	YKL2	S000003450	S000001626	25213169:0018:LC|18573877:0018:LC
P30822	P38200	CRM1	SHE1	G8514	YBL0420	S000003450	S000000127	11027275:0018:LC
P30822	P39523	CRM1	P39523	G8514	YM8564.06	S000003450	S000004731	11027275:0018:LC
P30822	P39723	CRM1	SPC72	G8514	FUN42	S000003450	S000000045	11027275:0018:LC|18573877:0096:LC|18573877:0018:LC
P30822	P40477	CRM1	NUP159	G8514		S000003450	S000001377	11027275:0018:LC|10523319:0018:LC
P30822	P40517	CRM1	YRB2	G8514		S000003450	S000001325	9636166:0401:LC|9636166:0004:LC|11805837:0004:LC|11805837:0007:LC|9636166:0018:LC
P30822	P41920	CRM1	YRB1	G8514	YD8119.08	S000003450	S000002409	10825193:0096:LC|26349033:0114:LC|27323910:0114:LC|10825193:0004:LC|10825193:0018:LC|10825193:0019:LC|23297231:0114:LC|28282025:0114:LC|20485264:0114:LC|23034282:0114:LC
P30822	P47166	CRM1	SGM1	G8514	J2120	S000003450	S000003895	11027275:0018:LC|18573877:0018:LC
P30822	P48837	CRM1	NUP57	G8514	G6320	S000003450	S000003351	9368759:0018:LC
P30822	P49686	CRM1	NUP42	G8514	YD9346.04C	S000003450	S000002600	10610322:0018:LC|9368759:0018:LC|18573877:0018:LC|10523319:0018:LC|11027275:0018:LC
P30822	P53323	CRM1	BUD32	G8514		S000003450	S000003494	11805837:0004:LC|14519092:0018:LC|11805837:0007:LC
P30822	Q02199	CRM1	NUP49	G8514	G1648	S000003450	S000003140	9368759:0018:LC|18573877:0018:LC
P30822	Q02948	CRM1	VPS30	G8514	LPH7	S000003450	S000006041	11027275:0018:LC
P30822	Q04934	CRM1	IVY1	G8514	YD9934.14	S000003450	S000002637	11027275:0018:LC
P31109	P32867	SNC1	SSO1		P1405	S000000028	S000006153	9195974:0019:LC|19591838:0018:LC|21477180:0401:LC|9195974:0096:LC|10048921:0114:LC
P31109	P40357	SNC1	SEC9			S000000028	S000003241	7954793:0004:LC|7954793:0019:LC|10048921:0114:LC
P31109	P47057	SNC1	SNX4		J1244	S000000028	S000003573	19591838:0018:LC
P31111	Q12306	ZIP1	SMT3	D9819.9	D9719.15	S000002693	S000002918	16847351:0018:LC|16847351:0096:LC|20534433:0018:LC|19959993:0416:LC
P31116	P31116	HOM6	HOM6	J2132	J2132	S000003900	S000003900	10700284:0114:LC|15210149:0114:LC|14583265:0114:LC
P31244	P35187	RAD16	SGS1	YBR0909	YM9646.02C	S000000318	S000004802	11459632:0018:LC|11459632:0019:LC|11459632:0004:LC|9253198:0018:LC
P31373	P31373	CYS3	CYS3	FUN35	FUN35	S000000010	S000000010	11805826:0676:LC|11805826:0007:LC|12715888:0114:LC
P31374	P32861	PSK1	UGP1	FUN31|YAL002	YKL248	S000000015	S000001518	20489023:0007:LC|20489023:0676:LC|11805837:0007:LC|20489023:0004:LC
P31376	Q05471	SWC3	SWR1		D9651.6	S000000009	S000002742	24034247:0401:LC|14645854:0007:LC|14645854:0004:LC
P31377	P32598	SYN8	GLC7	FUN34		S000000012	S000000935	8754819:0018:LC|20489023:0007:LC|20489023:0004:LC|10790385:0018:LC
P31380	P31380	FUN30	FUN30	YAL001	YAL001	S000000017	S000000017	20075079:0071:LC|20075079:0007:LC|20075079:0029:LC|PDB_5GN1:0114:LC|20075079:0096:LC|11805826:0007:LC|20075079:0004:LC
P31383	P38903	TPD3	RTS1	FUN32	OR26.04	S000000014	S000005540	11805826:0007:LC|11805826:0004:LC|20489023:0007:LC|11805826:0676:LC|20489023:0004:LC
P31383	P50111	TPD3	ZDS1	FUN32	YM8156.15C	S000000014	S000004886	18762578:0004:LC|18762578:0007:LC|11805826:0004:LC|11805826:0676:LC|11805826:0007:LC
P31383	P53289	TPD3	RTS3	FUN32		S000000014	S000003393	11805826:0676:LC|20489023:0007:LC|11805826:0004:LC|20489023:0004:LC|11805826:0007:LC
P31383	P53917	TPD3	FAR11	FUN32	N1221|N1875	S000000014	S000005071	22782902:0090:LC
P31383	P54786	TPD3	ZDS2	FUN32	YM8339.10	S000000014	S000004577	20980617:0018:LC|18762578:0004:LC|18762578:0007:LC|11805826:0004:LC|11805826:0676:LC|11805826:0007:LC
P31383	Q00362	TPD3	CDC55	FUN32	G1345	S000000014	S000003158	10329624:0004:LC|20489023:0007:LC|11805837:0004:LC|11805826:0004:LC|20489023:0004:LC|11805837:0007:LC|10329624:0006:LC|11805826:0676:LC|11805826:0007:LC
P31383	Q12461	TPD3	RRD2	FUN32		S000000014	S000006073	17550305:0007:LC|11805826:0004:LC|17550305:0004:LC|11805826:0676:LC|11805826:0007:LC
P31384	P31384	CCR4	CCR4	FUN27	FUN27	S000000019	S000000019	14759368:0004:LC|11805826:0007:LC|14759368:0007:LC
P31384	P34909	CCR4	MOT2	FUN27		S000000019	S000000870	11733989:0401:LC|11733989:0004:LC|11733989:0006:LC|11805826:0004:LC|9463387:0004:LC|11805826:0676:LC|11805826:0007:LC|9463387:0019:LC
P31384	P39008	CCR4	POP2	FUN27	N3470	S000000019	S000005335	7791755:0019:LC|14734555:0004:LC|14734555:0018:LC|11733989:0401:LC|10490603:0004:LC|11239395:0401:LC|22959269:0096:LC|9311989:0401:LC|14759368:0007:LC|10490603:0019:LC|10490603:0018:LC|9504907:0018:LC|11805826:0676:LC|11733989:0096:LC|9463387:0019:LC|14759368:0004:LC|11805837:0004:LC|11733989:0004:LC|11733989:0006:LC|10490603:0401:LC|11239395:0004:LC|11805826:0004:LC|11113136:0018:LC|11805837:0007:LC|7791755:0004:LC|7791755:0018:LC|22959269:0018:LC|10490603:0071:LC|9463387:0004:LC|9504907:0019:LC|9311989:0018:LC|11805826:0007:LC|9463387:0018:LC
P31384	P47821	CCR4	SSN8	FUN27	N2805	S000000019	S000004970	22421358:0018:LC|11113136:0019:LC
P31384	P53280	CCR4	CAF130	FUN27		S000000019	S000003366	11733989:0004:LC|11733989:0019:LC|11733989:0006:LC|11805826:0004:LC|11805826:0676:LC|11805826:0007:LC|11733989:0401:LC
P31384	P53829	CCR4	CAF40	FUN27	N0540	S000000019	S000005232	11733989:0006:LC|11733989:0401:LC|11733989:0071:LC|11733989:0004:LC|11733989:0019:LC|11805826:0004:LC|11805826:0676:LC|11805826:0007:LC
P31384	Q01939	CCR4	RPT6	FUN27		S000000019	S000003016	17389396:0006:LC|11805837:0007:LC|17389396:0007:LC|17389396:0004:LC
P31384	Q12514	CCR4	NOT5	FUN27	YP9499.27	S000000019	S000006276	11733989:0401:LC|11733989:0004:LC|11733989:0006:LC|9463387:0004:LC|9463387:0019:LC
P31386	P31386	ATS1	ATS1	FUN28|YAL006	FUN28|YAL006	S000000018	S000000018	25543256:0114:LC
P31386	Q3E840	ATS1	KTI11	FUN28|YAL006		S000000018	S000007587	25543256:0007:LC|25604895:0114:LC|25543256:0114:LC|25604895:0096:LC|25543256:0065:LC|25543256:0004:LC|25543256:0096:LC|25543256:0077:LC|25543256:0028:LC
P31412	P32366	VMA5	VMA6	YKL410	L9324.8	S000001563	S000004439	23142977:0410:LC|19081055:0410:LC
P31412	P32563	VMA5	VPH1	YKL410		S000001563	S000005796	19081055:0007:LC|19081055:0004:LC|11592965:0019:LC|11592965:0004:LC|9488470:0401:LC|24805887:0055:LC
P31412	P47104	VMA5	RAV1	YKL410	J1590	S000001563	S000003794	17623654:0004:LC|26405040:0096:LC|17623654:0018:LC|26405040:0018:LC
P31412	P48836	VMA5	VMA10	YKL410	YHR039BC|YHR039C-B	S000001563	S000002100	23142977:0114:LC|19081055:0071:LC|19081055:0826:LC|23000382:0071:LC|23000382:0114:LC
P31412	Q03956	VMA5	RAV2	YKL410	YD9346.12C	S000001563	S000002610	17623654:0018:LC
P31539	P31539	HSP104	HSP104	L0948	L0948	S000003949	S000003949	20404203:0071:LC|28619716:0114:LC|18160044:0114:LC|20404203:0410:LC|18160044:0096:LC|19362537:0114:LC|21474779:0071:LC|28375147:0114:LC|8308017:0030:LC|23141537:0055:LC|11158570:0030:LC|20404203:0114:LC|21454552:0096:LC|21454552:0114:LC|8308017:0071:LC|8308017:0096:LC|29175998:0114:LC
P31539	Q12118	HSP104	SGT2	L0948	UNF346	S000003949	S000005533	17441508:0004:LC|21619481:0018:LC|17441508:0006:LC|21619481:0096:LC
P31688	P38426	TPS2	TPS3	YD8554.07	YM8156.03C	S000002481	S000004874	20489023:0007:LC|20489023:0004:LC|9194697:0018:LC
P31688	Q00764	TPS2	TPS1	YD8554.07	YBR0922	S000002481	S000000330	9837904:0071:LC|11805826:0004:LC|20489023:0004:LC|20489023:0007:LC|11805826:0676:LC|9194697:0018:LC|11805826:0007:LC
P32074	P38682	SEC21	GLO3	N0543		S000005231	S000000924	11805826:0676:LC|11805826:0004:LC|11805826:0007:LC|10921873:0018:LC
P32074	P41811	SEC21	SEC27	N0543	G2827	S000005231	S000003105	11805837:0004:LC|10921873:0018:LC|11805826:0676:LC|11805837:0007:LC|11805826:0004:LC|11805826:0007:LC
P32074	P53600	SEC21	RET3	N0543	LPA7W|YP8132.03	S000005231	S000005931	22246286:0096:LC|10921873:0018:LC|22246286:0114:LC
P32074	P53622	SEC21	COP1	N0543	D1578	S000005231	S000002304	14699056:0071:LC|11805837:0004:LC|11805826:0004:LC|11805837:0007:LC|10921873:0071:LC|11805826:0676:LC|11805826:0007:LC
P32178	P32178	ARO7	ARO7	YP9499.15C	YP9499.15C	S000006264	S000006264	9384560:0114:LC|7971967:0114:LC|8622937:0114:LC
P32259	P32569	SIN4	SRB4	N1135		S000005180	S000000824	14759368:0007:LC|7479899:0401:LC|14759368:0004:LC
P32259	P32585	SIN4	SRB5	N1135		S000005180	S000003336	14759368:0007:LC|17192271:0401:LC|11383511:0004:LC|11383511:0401:LC|14759368:0004:LC
P32259	P40356	SIN4	PGD1	N1135		S000005180	S000002993	10949041:0401:LC|9420330:0401:LC
P32259	Q08278	SIN4	MED7	N1135		S000005180	S000005495	14759368:0007:LC|9420330:0401:LC|11805826:0004:LC|11805826:0676:LC|11805826:0007:LC|14759368:0004:LC
P32263	P32263	PRO3	PRO3			S000000825	S000000825	11805826:0676:LC|11805826:0007:LC
P32263	P32502	PRO3	GCD7		L8003.17	S000000825	S000004282	11805837:0004:LC|11805837:0007:LC
P32263	P41811	PRO3	SEC27		G2827	S000000825	S000003105	11805837:0004:LC|11805837:0007:LC|22615397:0090:LC
P32264	P32264	PRO1	PRO1	D9740.12	D9740.12	S000002708	S000002708	11805826:0007:LC|22615397:0090:LC
P32266	P38297	MGM1	FZO1	YOR50-1	YBR1241	S000005737	S000000383	12566426:0007:LC|12808034:0007:LC|12808034:0004:LC|11038181:0401:LC|12566426:0004:LC
P32266	Q03327	MGM1	UGO1	YOR50-1		S000005737	S000002878	12808034:0007:LC|12566426:0006:LC|12808034:0004:LC
P32318	P32318	THI4	THI4	G6620	G6620	S000003376	S000003376	26919468:0114:LC|22031445:0114:LC
P32319	P32319	PEP1	PEP1	YBL03.22|YBL0302	YBL03.22|YBL0302	S000000113	S000000113	14759368:0004:LC|11805826:0007:LC|14759368:0007:LC
P32319	P34110	PEP1	VPS35	YBL03.22|YBL0302	J0580	S000000113	S000003690	17696874:0401:LC
P32319	P38817	PEP1	GGA2	YBL03.22|YBL0302		S000000113	S000001150	23408788:0018:LC
P32319	P40335	PEP1	PEP8	YBL03.22|YBL0302	J1152	S000000113	S000003589	17696874:0401:LC
P32319	Q03687	PEP1	Q03687	YBL03.22|YBL0302	YM8270.13	S000000113	S000004612	22615397:0090:LC
P32324	P32324	EFT1|EFT2	EFT1|EFT2	O3317|YOR3317W	O3317|YOR3317W	S000002793|S000005659	S000002793|S000005659	17082187:0114:LC|12692531:0114:LC|18583986:0114:LC
P32324	P47163	EFT1|EFT2	EFM3	O3317|YOR3317W	J2061	S000002793|S000005659	S000003890	25231979:0415:LC|25086354:0415:LC
P32325	P32325	DBF4	DBF4	D4205|YD9609.07C	D4205|YD9609.07C	S000002459	S000002459	PDB_3OQ4:0114:LC|9407029:0018:LC|10049915:0018:LC|9790600:0018:LC
P32325	P32562	DBF4	CDC5	D4205|YD9609.07C	YM8270.03C	S000002459	S000004603	28096179:0018:LC|8943332:0004:LC|19478884:0018:LC|19013276:0007:LC|19013276:0004:LC|8943332:0401:LC|8943332:0018:LC|8943332:0045:LC|8943332:0019:LC|19013276:0676:LC|8943332:0415:LC|8943332:0096:LC|21036905:0018:LC
P32325	P32833	DBF4	ORC2	D4205|YD9609.07C	YBR0523	S000002459	S000000264	12441400:0004:LC|12441400:0019:LC|12441400:0018:LC|20436286:0018:LC|16107698:0018:LC
P32328	P40484	DBF20	MOB1			S000006315	S000001368	20489023:0007:LC|11805837:0004:LC|9528782:0018:LC|20489023:0004:LC|9528782:0004:LC|11805837:0007:LC
P32335	P40452	MSS51	COA1	L8167.17		S000004193	S000001419	17882260:0004:LC|17882260:0007:LC|17882259:0004:LC|17882259:0007:LC|17882260:0401:LC
P32336	P32336	NUD1	NUD1			S000005900	S000005900	11973299:0018:LC|10339566:0018:LC
P32336	P32562	NUD1	CDC5		YM8270.03C	S000005900	S000004603	17967947:0415:LC|18178775:0415:LC
P32336	Q07732	NUD1	ADY3			S000005900	S000002398	11742972:0018:LC|11973299:0018:LC
P32336	Q12411	NUD1	SPO21			S000005900	S000005451	11973299:0018:LC|10899120:0018:LC
P32337	P48837	PSE1	NUP57	YM9952.10C	G6320	S000004925	S000003351	9864357:0049:LC
P32337	P49687	PSE1	NUP145	YM9952.10C		S000004925	S000003060	9864357:0049:LC|10678175:0055:LC
